,Name,Ability,Ability Description,Extra Ability,Extra Ability Description,Hidden Ability,Hidden Ability Description
1,Bulbasaur,Overgrow,Powers up Grass-type moves in a pinch.,,,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
2,Ivysaur,Overgrow,Powers up Grass-type moves in a pinch.,,,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
3,Venusaur,Overgrow,Powers up Grass-type moves in a pinch.,,,Chlorophyll,Boosts the Pokémon's Speed in sunshine.
4,Charmander,Blaze,Powers up Fire-type moves in a pinch.,,,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
5,Charmeleon,Blaze,Powers up Fire-type moves in a pinch.,,,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
6,Charizard,Blaze,Powers up Fire-type moves in a pinch.,,,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
7,Squirtle,Torrent,Powers up Water-type moves in a pinch.,,,Rain Dish,The Pokémon gradually regains HP in rain.
8,Wartortle,Torrent,Powers up Water-type moves in a pinch.,,,Rain Dish,The Pokémon gradually regains HP in rain.
9,Blastoise,Torrent,Powers up Water-type moves in a pinch.,,,Rain Dish,The Pokémon gradually regains HP in rain.
10,Caterpie,Shield Dust,Blocks the added effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.
11,Metapod,Shed Skin,The Pokémon may heal its own status problems.,,,,
12,Butterfree,Compound Eyes,The Pokémon's accuracy is boosted.,,,Tinted Lens,Powers up “not very effective” moves.
13,Weedle,Shield Dust,Blocks the added effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokémon.
14,Kakuna,Shed Skin,The Pokémon may heal its own status problems.,,,,
15,Beedrill,Swarm,Powers up Bug-type moves in a pinch.,,,Sniper,Powers up moves if they become critical hits.
16,Pidgey,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tangled Feet,Raises evasion if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
17,Pidgeotto,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tangled Feet,Raises evasion if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
18,Pidgeot,Keen Eye,Prevents other Pokémon from lowering accuracy.,Tangled Feet,Raises evasion if the Pokémon is confused.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
19,Rattata,Run Away,Enables a sure getaway from wild Pokémon.,Guts,Boosts Attack if there is a status problem.,Hustle,"Boosts the Attack stat, but lowers accuracy."
20,Raticate,Run Away,Enables a sure getaway from wild Pokémon.,Guts,Boosts Attack if there is a status problem.,Hustle,"Boosts the Attack stat, but lowers accuracy."
21,Spearow,Keen Eye,Prevents other Pokémon from lowering accuracy.,,,Sniper,Powers up moves if they become critical hits.
22,Fearow,Keen Eye,Prevents other Pokémon from lowering accuracy.,,,Sniper,Powers up moves if they become critical hits.
23,Ekans,Intimidate,Lowers the foe's Attack stat.,Shed Skin,The Pokémon may heal its own status problems.,Unnerve,Makes the foe nervous and unable to eat Berries.
24,Arbok,Intimidate,Lowers the foe's Attack stat.,Shed Skin,The Pokémon may heal its own status problems.,Unnerve,Makes the foe nervous and unable to eat Berries.
25,Pikachu,Static,Contact with the Pokémon may cause paralysis.,,,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
26,Raichu,Static,Contact with the Pokémon may cause paralysis.,,,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.
27,Sandshrew,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.
28,Sandslash,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,,,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.
29,Nidoran♀ (female),Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Hustle,"Boosts the Attack stat, but lowers accuracy."
30,Nidorina,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Hustle,"Boosts the Attack stat, but lowers accuracy."
31,Nidoqueen,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Sheer Force,Removes added effects to increase move damage.
32,Nidoran♂ (male),Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Hustle,"Boosts the Attack stat, but lowers accuracy."
33,Nidorino,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Hustle,"Boosts the Attack stat, but lowers accuracy."
34,Nidoking,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,Deals more damage to a Pokémon of same gender.,Sheer Force,Removes added effects to increase move damage.
35,Clefairy,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,Protects the Pokémon from indirect damage.,Friend Guard,Reduces damage done to allies.
36,Clefable,Cute Charm,Contact with the Pokémon may cause infatuation.,Magic Guard,Protects the Pokémon from indirect damage.,Unaware,Ignores any stat changes in the Pokémon.
37,Vulpix,Flash Fire,It powers up Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
38,Ninetales,Flash Fire,It powers up Fire-type moves if it's hit by one.,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.
39,Jigglypuff,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Friend Guard,Reduces damage done to allies.
40,Wigglytuff,Cute Charm,Contact with the Pokémon may cause infatuation.,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,Frisk,The Pokémon can check a foe's held item.
41,Zubat,Inner Focus,The Pokémon is protected from flinching.,,,Infiltrator,Passes through the foe's barrier and strikes.
42,Golbat,Inner Focus,The Pokémon is protected from flinching.,,,Infiltrator,Passes through the foe's barrier and strikes.
43,Oddish,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Run Away,Enables a sure getaway from wild Pokémon.
44,Gloom,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Stench,The stench may cause the target to flinch.
45,Vileplume,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Effect Spore,Contact may poison or cause paralysis or sleep.
46,Paras,Effect Spore,Contact may poison or cause paralysis or sleep.,Dry Skin,Reduces HP if it is hot. Water restores HP.,Damp,Prevents the use of self-destructing moves.
47,Parasect,Effect Spore,Contact may poison or cause paralysis or sleep.,Dry Skin,Reduces HP if it is hot. Water restores HP.,Damp,Prevents the use of self-destructing moves.
48,Venonat,Compound Eyes,The Pokémon's accuracy is boosted.,Tinted Lens,Powers up “not very effective” moves.,Run Away,Enables a sure getaway from wild Pokémon.
49,Venomoth,Shield Dust,Blocks the added effects of attacks taken.,Tinted Lens,Powers up “not very effective” moves.,Wonder Skin,Makes status-changing moves more likely to miss.
50,Diglett,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Arena Trap,Prevents the foe from fleeing.,Sand Force,Boosts certain moves' power in a sandstorm.
51,Dugtrio,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Arena Trap,Prevents the foe from fleeing.,Sand Force,Boosts certain moves' power in a sandstorm.
52,Meowth,Pickup,The Pokémon may pick up items.,Technician,Powers up the Pokémon's weaker moves.,Unnerve,Makes the foe nervous and unable to eat Berries.
53,Persian,Limber,The Pokémon is protected from paralysis.,Technician,Powers up the Pokémon's weaker moves.,Unnerve,Makes the foe nervous and unable to eat Berries.
54,Psyduck,Damp,Prevents the use of self-destructing moves.,Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed in rain.
55,Golduck,Damp,Prevents the use of self-destructing moves.,Cloud Nine,Eliminates the effects of weather.,Swift Swim,Boosts the Pokémon's Speed in rain.
56,Mankey,Vital Spirit,Prevents the Pokémon from falling asleep.,Anger Point,Maxes Attack after taking a critical hit.,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
57,Primeape,Vital Spirit,Prevents the Pokémon from falling asleep.,Anger Point,Maxes Attack after taking a critical hit.,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
58,Growlithe,Intimidate,Lowers the foe's Attack stat.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Justified,Raises Attack when hit by a Dark-type move.
59,Arcanine,Intimidate,Lowers the foe's Attack stat.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Justified,Raises Attack when hit by a Dark-type move.
60,Poliwag,Water Absorb,Restores HP if hit by a Water-type move.,Damp,Prevents the use of self-destructing moves.,Swift Swim,Boosts the Pokémon's Speed in rain.
61,Poliwhirl,Water Absorb,Restores HP if hit by a Water-type move.,Damp,Prevents the use of self-destructing moves.,Swift Swim,Boosts the Pokémon's Speed in rain.
62,Poliwrath,Water Absorb,Restores HP if hit by a Water-type move.,Damp,Prevents the use of self-destructing moves.,Swift Swim,Boosts the Pokémon's Speed in rain.
63,Abra,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Inner Focus,The Pokémon is protected from flinching.,Magic Guard,Protects the Pokémon from indirect damage.
64,Kadabra,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Inner Focus,The Pokémon is protected from flinching.,Magic Guard,Protects the Pokémon from indirect damage.
65,Alakazam,Synchronize,"Passes a burn, poison, or paralysis to the foe.",Inner Focus,The Pokémon is protected from flinching.,Magic Guard,Protects the Pokémon from indirect damage.
66,Machop,Guts,Boosts Attack if there is a status problem.,No Guard,Ensures attacks by or against the Pokémon land.,Steadfast,Raises Speed each time the Pokémon flinches.
67,Machoke,Guts,Boosts Attack if there is a status problem.,No Guard,Ensures attacks by or against the Pokémon land.,Steadfast,Raises Speed each time the Pokémon flinches.
68,Machamp,Guts,Boosts Attack if there is a status problem.,No Guard,Ensures attacks by or against the Pokémon land.,Steadfast,Raises Speed each time the Pokémon flinches.
69,Bellsprout,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Gluttony,Encourages the early use of a held Berry.
70,Weepinbell,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Gluttony,Encourages the early use of a held Berry.
71,Victreebel,Chlorophyll,Boosts the Pokémon's Speed in sunshine.,,,Gluttony,Encourages the early use of a held Berry.
72,Tentacool,Clear Body,Prevents other Pokémon from lowering its stats.,Liquid Ooze,Damages attackers using any draining move.,Rain Dish,The Pokémon gradually regains HP in rain.
73,Tentacruel,Clear Body,Prevents other Pokémon from lowering its stats.,Liquid Ooze,Damages attackers using any draining move.,Rain Dish,The Pokémon gradually regains HP in rain.
74,Geodude,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
75,Graveler,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
76,Golem,Rock Head,Protects the Pokémon from recoil damage.,Sturdy,It cannot be knocked out with one hit.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
77,Ponyta,Run Away,Enables a sure getaway from wild Pokémon.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.
78,Rapidash,Run Away,Enables a sure getaway from wild Pokémon.,Flash Fire,It powers up Fire-type moves if it's hit by one.,Flame Body,Contact with the Pokémon may burn the attacker.
